candidate_id,status,max_model_len,max_num_seqs,max_num_batched_tokens,batch_policy,risk_tier,load_skip_reason,token_budget_m,startup_seconds,kv_cache_tokens,reported_concurrency,system_memory_drop_gib,tegrastats_baseline_ram_used_gib,tegrastats_ram_delta_gib,tegrastats_max_ram_used_gib,tegrastats_max_temp_c,tegrastats_samples,tegrastats_gpu_field_seen,idle_memory_gib,idle_memory_peak_gib,load_memory_gib,load_memory_peak_gib,load_successes,load_errors,completion_tok_s,total_tok_s,latency_p50,latency_p95
ctx98304-seq1-small,load_complete,98304,1,8192,small,medium,,0.098304,146.196,3138219,31.92,81.316,8.41,81.261,89.671,72.9,158,False,3.835,10.821,3.858,10.821,1,0,18.108,528.813,3.534,3.534
ctx100000-seq1-match_context,startup_only,100000,1,100000,match_context,high,risk_guard(high),0.1,161.152,326442,3.26,64.554,8.315,63.616,71.932,72.0,169,False,4.845,11.81,,,,,,,,
ctx100000-seq1-small,startup_only,100000,1,8192,small,high,risk_guard(high),0.1,145.953,3173926,31.74,80.966,8.559,81.089,89.647,67.2,154,False,3.906,10.836,,,,,,,,
ctx4096-seq32-match_context,startup_only,4096,32,4096,match_context,high,risk_guard(high),0.131072,151.629,561166,137.0,82.913,8.343,82.062,90.405,71.9,160,False,3.903,10.806,,,,,,,,
ctx4096-seq32-small,startup_only,4096,32,4096,small,high,risk_guard(high),0.131072,146.083,561340,137.05,81.815,8.335,82.049,90.384,71.1,154,False,3.957,10.914,,,,,,,,
ctx8192-seq16-match_context,load_complete,8192,16,8192,match_context,medium,,0.131072,151.033,551294,67.3,82.556,8.308,81.579,89.887,71.8,164,False,4.015,10.882,4.076,10.882,16,0,227.39,6640.503,4.498,4.501
ctx8192-seq16-small,load_complete,8192,16,8192,small,medium,,0.131072,141.425,552546,67.45,81.431,8.374,81.364,89.738,68.8,153,False,3.723,10.821,3.769,10.821,16,0,361.593,10559.65,2.826,2.83
ctx16384-seq8-match_context,load_complete,16384,8,16384,match_context,medium,,0.131072,145.977,534577,32.63,79.219,8.33,79.904,88.234,72.0,159,False,3.76,10.9,3.763,10.9,8,0,114.934,3356.43,4.45,4.453
ctx16384-seq8-small,load_complete,16384,8,8192,small,medium,,0.131072,147.042,918323,56.05,82.485,8.297,81.547,89.844,71.2,160,False,4.009,10.931,4.065,10.931,8,0,118.379,3457.028,4.322,4.324
ctx32768-seq4-match_context,load_complete,32768,4,32768,match_context,medium,,0.131072,151.25,496306,15.15,77.393,8.372,77.107,85.479,66.7,163,False,4.061,11.01,4.084,11.01,4,0,80.948,2363.931,3.137,3.137
ctx32768-seq4-small,load_complete,32768,4,8192,small,medium,,0.131072,146.267,1601524,48.87,81.779,8.415,81.651,90.066,66.4,158,False,3.977,10.837,4.001,10.837,4,0,81.101,2368.397,3.139,3.14
ctx65536-seq2-match_context,load_complete,65536,2,65536,match_context,medium,,0.131072,151.173,411856,6.28,71.027,8.356,70.492,78.849,68.5,162,False,4.262,11.262,4.285,11.262,2,0,41.193,1202.955,3.107,3.107
ctx65536-seq2-small,load_complete,65536,2,8192,small,medium,,0.131072,145.993,2522239,38.49,80.744,8.466,81.216,89.682,71.8,158,False,3.921,10.821,3.975,10.821,2,0,32.064,936.36,3.974,3.99
ctx131072-seq1-match_context,startup_only,131072,1,131072,match_context,high,risk_guard(high),0.131072,166.777,256009,1.95,60.58,8.422,59.826,68.248,75.9,175,False,4.621,11.791,,,,,,,,
ctx131072-seq1-small,startup_only,131072,1,8192,small,high,risk_guard(high),0.131072,146.183,3567219,27.22,81.704,8.521,80.793,89.314,69.7,154,False,4.428,11.219,,,,,,,,
ctx8192-seq24-match_context,startup_only,8192,24,8192,match_context,high,risk_guard(high),0.196608,151.608,547316,66.81,80.974,8.296,80.899,89.195,69.5,160,False,3.89,10.837,,,,,,,,
ctx8192-seq24-small,startup_only,8192,24,8192,small,high,risk_guard(high),0.196608,141.2,552708,67.47,81.396,8.349,81.312,89.661,66.9,149,False,3.748,10.822,,,,,,,,
